"","subj","ID","itemN","rt","Task","TrialType","CongruentIncongruent","error"
"41",1,1,4,559.22,"flankers","IncongruentRight","Incongruent",0
"43",1,1,1,396.01,"flankers","CongruentRight","Congruent",0
"44",1,1,1,359.43,"flankers","CongruentRight","Congruent",0
"45",1,1,2,338.8,"flankers","CongruentLeft","Congruent",0
"46",1,1,2,403.53,"flankers","CongruentLeft","Congruent",0
"47",1,1,2,369.64,"flankers","CongruentLeft","Congruent",0
"48",1,1,1,357.07,"flankers","CongruentRight","Congruent",0
"49",1,1,2,320.46,"flankers","CongruentLeft","Congruent",0
"50",1,1,3,-329.28,"flankers","IncongruentLeft","Incongruent",1
"51",1,1,2,367.69,"flankers","CongruentLeft","Congruent",0
"52",1,1,1,349.73,"flankers","CongruentRight","Congruent",0
"53",1,1,2,398.49,"flankers","CongruentLeft","Congruent",0
"54",1,1,2,337.87,"flankers","CongruentLeft","Congruent",0
"57",1,1,3,394.05,"flankers","IncongruentLeft","Incongruent",0
"58",1,1,1,357.41,"flankers","CongruentRight","Congruent",0
"59",1,1,1,408.78,"flankers","CongruentRight","Congruent",0
"60",1,1,2,374.82,"flankers","CongruentLeft","Congruent",0
"61",1,1,1,383.57,"flankers","CongruentRight","Congruent",0
"63",1,1,2,476.14,"flankers","CongruentLeft","Congruent",0
"64",1,1,1,335.55,"flankers","CongruentRight","Congruent",0
"66",1,1,2,380.01,"flankers","CongruentLeft","Congruent",0
"68",1,1,3,-411.12,"flankers","IncongruentLeft","Incongruent",1
"70",1,1,2,346.56,"flankers","CongruentLeft","Congruent",0
"72",1,1,1,361.72,"flankers","CongruentRight","Congruent",0
"74",1,1,3,-318.11,"flankers","IncongruentLeft","Incongruent",1
"75",1,1,1,439.22,"flankers","CongruentRight","Congruent",0
"76",1,1,4,-440.07,"flankers","IncongruentRight","Incongruent",1
"77",1,1,1,387.9,"flankers","CongruentRight","Congruent",0
"78",1,1,2,426.05,"flankers","CongruentLeft","Congruent",0
"79",1,1,1,394.81,"flankers","CongruentRight","Congruent",0
"80",1,1,2,406.21,"flankers","CongruentLeft","Congruent",0
"81",1,1,2,484.3,"flankers","CongruentLeft","Congruent",0
"82",1,1,4,426.35,"flankers","IncongruentRight","Incongruent",0
"83",1,1,3,-355.12,"flankers","IncongruentLeft","Incongruent",1
"84",1,1,1,390.89,"flankers","CongruentRight","Congruent",0
"86",1,1,1,355.32,"flankers","CongruentRight","Congruent",0
"87",1,1,1,398.72,"flankers","CongruentRight","Congruent",0
"88",1,1,3,655.52,"flankers","IncongruentLeft","Incongruent",0
"89",1,1,2,347.43,"flankers","CongruentLeft","Congruent",0
"90",1,1,2,374.87,"flankers","CongruentLeft","Congruent",0
"91",1,1,4,447.54,"flankers","IncongruentRight","Incongruent",0
"92",1,1,4,525.68,"flankers","IncongruentRight","Incongruent",0
"93",1,1,1,385.44,"flankers","CongruentRight","Congruent",0
"94",1,1,1,386.18,"flankers","CongruentRight","Congruent",0
"96",1,1,1,401.23,"flankers","CongruentRight","Congruent",0
"97",1,1,1,404.64,"flankers","CongruentRight","Congruent",0
"99",1,1,2,403.7,"flankers","CongruentLeft","Congruent",0
"100",1,1,1,449.8,"flankers","CongruentRight","Congruent",0
"102",1,1,1,384.88,"flankers","CongruentRight","Congruent",0
"104",1,1,2,402.53,"flankers","CongruentLeft","Congruent",0
"105",1,1,2,350.02,"flankers","CongruentLeft","Congruent",0
"106",1,1,3,489.41,"flankers","IncongruentLeft","Incongruent",0
"107",1,1,1,388.98,"flankers","CongruentRight","Congruent",0
"108",1,1,2,400.4,"flankers","CongruentLeft","Congruent",0
"109",1,1,2,459.83,"flankers","CongruentLeft","Congruent",0
"112",1,1,3,499.79,"flankers","IncongruentLeft","Incongruent",0
"113",1,1,1,388.54,"flankers","CongruentRight","Congruent",0
"115",1,1,3,542.26,"flankers","IncongruentLeft","Incongruent",0
"116",1,1,2,386.13,"flankers","CongruentLeft","Congruent",0
"117",1,1,1,408.2,"flankers","CongruentRight","Congruent",0
"118",1,1,2,323.71,"flankers","CongruentLeft","Congruent",0
"119",1,1,2,449.79,"flankers","CongruentLeft","Congruent",0
"121",1,1,4,526.29,"flankers","IncongruentRight","Incongruent",0
"122",1,1,1,375.42,"flankers","CongruentRight","Congruent",0
"123",1,1,2,336.19,"flankers","CongruentLeft","Congruent",0
"124",1,1,1,382.35,"flankers","CongruentRight","Congruent",0
"126",1,1,1,394.82,"flankers","CongruentRight","Congruent",0
"127",1,1,4,643.61,"flankers","IncongruentRight","Incongruent",0
"128",1,1,1,383.47,"flankers","CongruentRight","Congruent",0
"129",1,1,2,-480.13,"flankers","CongruentLeft","Congruent",1
"130",1,1,2,425.14,"flankers","CongruentLeft","Congruent",0
"131",1,1,2,459.8,"flankers","CongruentLeft","Congruent",0
"132",1,1,2,388.51,"flankers","CongruentLeft","Congruent",0
"133",1,1,1,389.28,"flankers","CongruentRight","Congruent",0
"135",1,1,1,367.06,"flankers","CongruentRight","Congruent",0
"136",1,1,1,357.2,"flankers","CongruentRight","Congruent",0
"138",1,1,2,422.9,"flankers","CongruentLeft","Congruent",0
"139",1,1,2,415.72,"flankers","CongruentLeft","Congruent",0
"140",1,1,1,456.39,"flankers","CongruentRight","Congruent",0
"142",1,1,1,338.21,"flankers","CongruentRight","Congruent",0
"144",1,1,1,364.33,"flankers","CongruentRight","Congruent",0
"145",1,1,1,351.77,"flankers","CongruentRight","Congruent",0
"146",1,1,4,-347.13,"flankers","IncongruentRight","Incongruent",1
"147",1,1,1,366.88,"flankers","CongruentRight","Congruent",0
"149",1,1,1,387.31,"flankers","CongruentRight","Congruent",0
"150",1,1,2,355.99,"flankers","CongruentLeft","Congruent",0
"151",1,1,1,348.8,"flankers","CongruentRight","Congruent",0
"152",1,1,2,314.89,"flankers","CongruentLeft","Congruent",0
"153",1,1,2,542.25,"flankers","CongruentLeft","Congruent",0
"154",1,1,2,404.79,"flankers","CongruentLeft","Congruent",0
"155",1,1,1,288.22,"flankers","CongruentRight","Congruent",0
"156",1,1,2,358.25,"flankers","CongruentLeft","Congruent",0
"157",1,1,2,353.61,"flankers","CongruentLeft","Congruent",0
"159",1,1,1,339.06,"flankers","CongruentRight","Congruent",0
"161",1,1,1,335.53,"flankers","CongruentRight","Congruent",0
"162",1,1,2,360.29,"flankers","CongruentLeft","Congruent",0
"163",1,1,2,379.69,"flankers","CongruentLeft","Congruent",0
"164",1,1,4,316.47,"flankers","IncongruentRight","Incongruent",0
"165",1,1,1,-373.25,"flankers","CongruentRight","Congruent",1
"166",1,1,1,371.71,"flankers","CongruentRight","Congruent",0
"167",1,1,2,345.74,"flankers","CongruentLeft","Congruent",0
"168",1,1,3,-578.45,"flankers","IncongruentLeft","Incongruent",1
"169",1,1,4,392.91,"flankers","IncongruentRight","Incongruent",0
"171",1,1,3,512.3,"flankers","IncongruentLeft","Incongruent",0
"175",1,1,1,351.2,"flankers","CongruentRight","Congruent",0
"176",1,1,1,335.95,"flankers","CongruentRight","Congruent",0
"177",1,1,1,352.7,"flankers","CongruentRight","Congruent",0
"178",1,1,4,-449.53,"flankers","IncongruentRight","Incongruent",1
"179",1,1,1,325.38,"flankers","CongruentRight","Congruent",0
"180",1,1,1,395.41,"flankers","CongruentRight","Congruent",0
"181",1,1,1,302.81,"flankers","CongruentRight","Congruent",0
"182",1,1,2,343.49,"flankers","CongruentLeft","Congruent",0
"184",1,1,1,345.25,"flankers","CongruentRight","Congruent",0
"185",1,1,2,449.9,"flankers","CongruentLeft","Congruent",0
"186",1,1,1,349.38,"flankers","CongruentRight","Congruent",0
"187",1,1,3,566.17,"flankers","IncongruentLeft","Incongruent",0
"188",1,1,4,346.04,"flankers","IncongruentRight","Incongruent",0
"189",1,1,3,442.69,"flankers","IncongruentLeft","Incongruent",0
"190",1,1,2,432.8,"flankers","CongruentLeft","Congruent",0
"191",1,1,1,340.3,"flankers","CongruentRight","Congruent",0
"192",1,1,4,394.42,"flankers","IncongruentRight","Incongruent",0
"193",1,1,2,325.81,"flankers","CongruentLeft","Congruent",0
"194",1,1,4,331.88,"flankers","IncongruentRight","Incongruent",0
"196",1,1,2,365.73,"flankers","CongruentLeft","Congruent",0
"197",1,1,2,515.76,"flankers","CongruentLeft","Congruent",0
"198",1,1,2,340.86,"flankers","CongruentLeft","Congruent",0
"199",1,1,2,381.54,"flankers","CongruentLeft","Congruent",0
"201",1,1,1,439.31,"flankers","CongruentRight","Congruent",0
"202",1,1,1,320.13,"flankers","CongruentRight","Congruent",0
"203",1,1,4,296.96,"flankers","IncongruentRight","Incongruent",0
"204",1,1,2,351.04,"flankers","CongruentLeft","Congruent",0
"206",1,1,2,361.25,"flankers","CongruentLeft","Congruent",0
"207",1,1,2,324.59,"flankers","CongruentLeft","Congruent",0
"208",1,1,1,314.69,"flankers","CongruentRight","Congruent",0
"209",1,1,3,-438.06,"flankers","IncongruentLeft","Incongruent",1
"210",1,1,2,361.82,"flankers","CongruentLeft","Congruent",0
"211",1,1,2,298.6,"flankers","CongruentLeft","Congruent",0
"212",1,1,1,-320.76,"flankers","CongruentRight","Congruent",1
"214",1,1,4,530.97,"flankers","IncongruentRight","Incongruent",0
"215",1,1,3,-446.76,"flankers","IncongruentLeft","Incongruent",1
"220",1,1,2,521.76,"flankers","CongruentLeft","Congruent",0
"221",1,1,1,364.78,"flankers","CongruentRight","Congruent",0
"222",1,1,2,298.89,"flankers","CongruentLeft","Congruent",0
"223",1,1,2,-283.62,"flankers","CongruentLeft","Congruent",1
"224",1,1,4,410.05,"flankers","IncongruentRight","Incongruent",0
"225",1,1,2,309.52,"flankers","CongruentLeft","Congruent",0
"228",1,1,1,303.87,"flankers","CongruentRight","Congruent",0
"230",1,1,4,385.55,"flankers","IncongruentRight","Incongruent",0
"231",1,1,2,335.69,"flankers","CongruentLeft","Congruent",0
"232",1,1,3,-309.8,"flankers","IncongruentLeft","Incongruent",1
"233",1,1,1,385.55,"flankers","CongruentRight","Congruent",0
"234",1,1,1,402.23,"flankers","CongruentRight","Congruent",0
"235",1,1,2,424.33,"flankers","CongruentLeft","Congruent",0
"236",1,1,2,353.07,"flankers","CongruentLeft","Congruent",0
"237",1,1,1,348.5,"flankers","CongruentRight","Congruent",0
"238",1,1,2,367.84,"flankers","CongruentLeft","Congruent",0
"239",1,1,2,405.89,"flankers","CongruentLeft","Congruent",0
"240",1,1,1,331.99,"flankers","CongruentRight","Congruent",0
"241",1,1,2,346.07,"flankers","CongruentLeft","Congruent",0
"242",1,1,2,-336.22,"flankers","CongruentLeft","Congruent",1
"243",1,1,2,334.72,"flankers","CongruentLeft","Congruent",0
"244",1,1,1,319.48,"flankers","CongruentRight","Congruent",0
"246",1,1,2,305.22,"flankers","CongruentLeft","Congruent",0
"247",1,1,2,313.83,"flankers","CongruentLeft","Congruent",0
"248",1,1,1,365.24,"flankers","CongruentRight","Congruent",0
"249",1,1,2,336.72,"flankers","CongruentLeft","Congruent",0
"250",1,1,1,382.86,"flankers","CongruentRight","Congruent",0
"251",1,1,2,364.99,"flankers","CongruentLeft","Congruent",0
"252",1,1,1,371.05,"flankers","CongruentRight","Congruent",0
"256",1,1,1,369.58,"flankers","CongruentRight","Congruent",0
"257",1,1,2,-335.62,"flankers","CongruentLeft","Congruent",1
"258",1,1,2,352.78,"flankers","CongruentLeft","Congruent",0
"259",1,1,1,329.53,"flankers","CongruentRight","Congruent",0
"261",1,1,2,406.03,"flankers","CongruentLeft","Congruent",0
"262",1,1,2,348.02,"flankers","CongruentLeft","Congruent",0
"263",1,1,4,-287.4,"flankers","IncongruentRight","Incongruent",1
"265",1,1,1,348.2,"flankers","CongruentRight","Congruent",0
"266",1,1,1,420.92,"flankers","CongruentRight","Congruent",0
"267",1,1,2,389.62,"flankers","CongruentLeft","Congruent",0
"268",1,1,2,-313.04,"flankers","CongruentLeft","Congruent",1
"269",1,1,2,362.2,"flankers","CongruentLeft","Congruent",0
"270",1,1,4,520.24,"flankers","IncongruentRight","Incongruent",0
"272",1,1,1,357.38,"flankers","CongruentRight","Congruent",0
"274",1,1,2,412.49,"flankers","CongruentLeft","Congruent",0
"275",1,1,2,335.99,"flankers","CongruentLeft","Congruent",0
"276",1,1,4,462.08,"flankers","IncongruentRight","Incongruent",0
"277",1,1,2,414.81,"flankers","CongruentLeft","Congruent",0
"278",1,1,3,-340.93,"flankers","IncongruentLeft","Incongruent",1
"279",1,1,3,-437.98,"flankers","IncongruentLeft","Incongruent",1
"281",1,1,3,-357.54,"flankers","IncongruentLeft","Incongruent",1
"282",1,1,2,382.73,"flankers","CongruentLeft","Congruent",0
"283",1,1,1,335.46,"flankers","CongruentRight","Congruent",0
"285",1,1,3,-366.51,"flankers","IncongruentLeft","Incongruent",1
"286",1,1,1,378.35,"flankers","CongruentRight","Congruent",0
"287",1,1,2,459.07,"flankers","CongruentLeft","Congruent",0
"288",1,1,1,347.8,"flankers","CongruentRight","Congruent",0
"289",1,1,2,447.26,"flankers","CongruentLeft","Congruent",0
"290",1,1,3,-549.3,"flankers","IncongruentLeft","Incongruent",1
"291",1,1,1,-358.44,"flankers","CongruentRight","Congruent",1
"292",1,1,1,362.25,"flankers","CongruentRight","Congruent",0
"293",1,1,2,408.28,"flankers","CongruentLeft","Congruent",0
"294",1,1,1,350.31,"flankers","CongruentRight","Congruent",0
"298",1,1,4,447.38,"flankers","IncongruentRight","Incongruent",0
"299",1,1,1,410.93,"flankers","CongruentRight","Congruent",0
"300",1,1,2,366.39,"flankers","CongruentLeft","Congruent",0
"301",1,1,2,353.81,"flankers","CongruentLeft","Congruent",0
"302",1,1,1,322.61,"flankers","CongruentRight","Congruent",0
"303",1,1,2,326.06,"flankers","CongruentLeft","Congruent",0
"305",1,1,1,365.18,"flankers","CongruentRight","Congruent",0
"306",1,1,4,-347.18,"flankers","IncongruentRight","Incongruent",1
"307",1,1,2,428.33,"flankers","CongruentLeft","Congruent",0
"308",1,1,2,391.73,"flankers","CongruentLeft","Congruent",0
"309",1,1,1,371.17,"flankers","CongruentRight","Congruent",0
"310",1,1,1,393.22,"flankers","CongruentRight","Congruent",0
"311",1,1,2,392.01,"flankers","CongruentLeft","Congruent",0
"312",1,1,2,360.76,"flankers","CongruentLeft","Congruent",0
"313",1,1,1,332.24,"flankers","CongruentRight","Congruent",0
"314",1,1,4,-282.32,"flankers","IncongruentRight","Incongruent",1
"316",1,1,2,343.18,"flankers","CongruentLeft","Congruent",0
"317",1,1,1,343.89,"flankers","CongruentRight","Congruent",0
"318",1,1,1,344.63,"flankers","CongruentRight","Congruent",0
"319",1,1,1,401.3,"flankers","CongruentRight","Congruent",0
"320",1,1,2,340.78,"flankers","CongruentLeft","Congruent",0
"321",1,1,1,370.92,"flankers","CongruentRight","Congruent",0
"323",1,1,2,311.32,"flankers","CongruentLeft","Congruent",0
"325",1,1,2,363.74,"flankers","CongruentLeft","Congruent",0
"327",1,1,3,-405.31,"flankers","IncongruentLeft","Incongruent",1
"328",1,1,2,315.82,"flankers","CongruentLeft","Congruent",0
"330",1,1,1,440.33,"flankers","CongruentRight","Congruent",0
"331",1,1,2,337.11,"flankers","CongruentLeft","Congruent",0
"332",1,1,1,399.23,"flankers","CongruentRight","Congruent",0
"333",1,1,1,448.09,"flankers","CongruentRight","Congruent",0
"335",1,1,1,383.15,"flankers","CongruentRight","Congruent",0
"336",1,1,1,365.29,"flankers","CongruentRight","Congruent",0
"337",1,1,1,339.42,"flankers","CongruentRight","Congruent",0
"338",1,1,4,636.14,"flankers","IncongruentRight","Incongruent",0
"339",1,1,2,389.26,"flankers","CongruentLeft","Congruent",0
"340",1,1,1,400.64,"flankers","CongruentRight","Congruent",0
"341",1,1,4,-332.01,"flankers","IncongruentRight","Incongruent",1
"342",1,1,1,306.5,"flankers","CongruentRight","Congruent",0
"343",1,1,4,560.61,"flankers","IncongruentRight","Incongruent",0
"344",1,1,2,391.11,"flankers","CongruentLeft","Congruent",0
"345",1,1,1,338.49,"flankers","CongruentRight","Congruent",0
"346",1,1,1,384.59,"flankers","CongruentRight","Congruent",0
"348",1,1,3,557.02,"flankers","IncongruentLeft","Incongruent",0
"349",1,1,1,358.15,"flankers","CongruentRight","Congruent",0
"351",1,1,1,383.92,"flankers","CongruentRight","Congruent",0
"353",1,1,1,345.65,"flankers","CongruentRight","Congruent",0
"354",1,1,1,311.76,"flankers","CongruentRight","Congruent",0
"356",1,1,3,500.2,"flankers","IncongruentLeft","Incongruent",0
"357",1,1,2,340.91,"flankers","CongruentLeft","Congruent",0
"359",1,1,1,382.69,"flankers","CongruentRight","Congruent",0
"360",1,1,1,431.37,"flankers","CongruentRight","Congruent",0
"361",1,1,2,344.18,"flankers","CongruentLeft","Congruent",0
"362",1,1,1,328.97,"flankers","CongruentRight","Congruent",0
"363",1,1,2,382.95,"flankers","CongruentLeft","Congruent",0
"364",1,1,1,335.72,"flankers","CongruentRight","Congruent",0
"365",1,1,1,405.83,"flankers","CongruentRight","Congruent",0
"366",1,1,4,-473.36,"flankers","IncongruentRight","Incongruent",1
"367",1,1,2,517.14,"flankers","CongruentLeft","Congruent",0
"369",1,1,1,343.23,"flankers","CongruentRight","Congruent",0
"370",1,1,3,277.35,"flankers","IncongruentLeft","Incongruent",0
"371",1,1,1,336.66,"flankers","CongruentRight","Congruent",0
"372",1,1,2,318.74,"flankers","CongruentLeft","Congruent",0
"373",1,1,2,362.13,"flankers","CongruentLeft","Congruent",0
"374",1,1,1,392.13,"flankers","CongruentRight","Congruent",0
"375",1,1,2,296.92,"flankers","CongruentLeft","Congruent",0
"376",1,1,2,377.62,"flankers","CongruentLeft","Congruent",0
"377",1,1,1,351.74,"flankers","CongruentRight","Congruent",0
"378",1,1,1,267.19,"flankers","CongruentRight","Congruent",0
"379",1,1,1,275.84,"flankers","CongruentRight","Congruent",0
"380",1,1,2,380.57,"flankers","CongruentLeft","Congruent",0
"381",1,1,3,421.32,"flankers","IncongruentLeft","Incongruent",0
"383",1,1,3,423.03,"flankers","IncongruentLeft","Incongruent",0
"384",1,1,1,373.22,"flankers","CongruentRight","Congruent",0
"385",1,1,1,344.61,"flankers","CongruentRight","Congruent",0
"386",1,1,1,329.31,"flankers","CongruentRight","Congruent",0
"387",1,1,2,255.35,"flankers","CongruentLeft","Congruent",0
"388",1,1,1,320.05,"flankers","CongruentRight","Congruent",0
"389",1,1,2,387.48,"flankers","CongruentLeft","Congruent",0
"390",1,1,2,-313.62,"flankers","CongruentLeft","Congruent",1
"392",1,1,4,-435.74,"flankers","IncongruentRight","Incongruent",1
"393",1,1,3,461.01,"flankers","IncongruentLeft","Incongruent",0
"394",1,1,2,437.75,"flankers","CongruentLeft","Congruent",0
"395",1,1,2,377.14,"flankers","CongruentLeft","Congruent",0
"396",1,1,2,353.8,"flankers","CongruentLeft","Congruent",0
"398",1,1,2,350.15,"flankers","CongruentLeft","Congruent",0
"399",1,1,2,353.53,"flankers","CongruentLeft","Congruent",0
"400",1,1,2,316.94,"flankers","CongruentLeft","Congruent",0
"441",3,5,2,371.7,"flankers","CongruentLeft","Congruent",0
"442",3,5,2,351.16,"flankers","CongruentLeft","Congruent",0
"443",3,5,2,338.53,"flankers","CongruentLeft","Congruent",0
"444",3,5,2,368.68,"flankers","CongruentLeft","Congruent",0
"445",3,5,1,342.69,"flankers","CongruentRight","Congruent",0
"447",3,5,1,429.76,"flankers","CongruentRight","Congruent",0
"448",3,5,1,398.57,"flankers","CongruentRight","Congruent",0
"450",3,5,1,362.96,"flankers","CongruentRight","Congruent",0
"452",3,5,2,372.73,"flankers","CongruentLeft","Congruent",0
"455",3,5,1,402.16,"flankers","CongruentRight","Congruent",0
"456",3,5,1,365.64,"flankers","CongruentRight","Congruent",0
"458",3,5,2,412.66,"flankers","CongruentLeft","Congruent",0
"459",3,5,2,386.77,"flankers","CongruentLeft","Congruent",0
"461",3,5,1,364.58,"flankers","CongruentRight","Congruent",0
"462",3,5,2,322.67,"flankers","CongruentLeft","Congruent",0
"463",3,5,1,344.78,"flankers","CongruentRight","Congruent",0
"465",3,5,1,413.04,"flankers","CongruentRight","Congruent",0
"467",3,5,2,342.79,"flankers","CongruentLeft","Congruent",0
"468",3,5,1,356.92,"flankers","CongruentRight","Congruent",0
"469",3,5,1,384.27,"flankers","CongruentRight","Congruent",0
"470",3,5,2,337.01,"flankers","CongruentLeft","Congruent",0
"472",3,5,1,328.14,"flankers","CongruentRight","Congruent",0
"473",3,5,2,326.18,"flankers","CongruentLeft","Congruent",0
"474",3,5,2,364.16,"flankers","CongruentLeft","Congruent",0
"475",3,5,4,-394.2,"flankers","IncongruentRight","Incongruent",1
"476",3,5,2,349.97,"flankers","CongruentLeft","Congruent",0
"477",3,5,1,433.35,"flankers","CongruentRight","Congruent",0
"478",3,5,2,316.8,"flankers","CongruentLeft","Congruent",0
"479",3,5,2,376.15,"flankers","CongruentLeft","Congruent",0
"480",3,5,2,400.91,"flankers","CongruentLeft","Congruent",0
"481",3,5,2,348.32,"flankers","CongruentLeft","Congruent",0
"482",3,5,2,354.49,"flankers","CongruentLeft","Congruent",0
"483",3,5,3,-635.21,"flankers","IncongruentLeft","Incongruent",1
"484",3,5,2,388.45,"flankers","CongruentLeft","Congruent",0
"485",3,5,1,333.11,"flankers","CongruentRight","Congruent",0
"486",3,5,1,363.17,"flankers","CongruentRight","Congruent",0
"487",3,5,1,390.53,"flankers","CongruentRight","Congruent",0
"488",3,5,2,433.97,"flankers","CongruentLeft","Congruent",0
"489",3,5,1,341.39,"flankers","CongruentRight","Congruent",0
"490",3,5,4,-363.47,"flankers","IncongruentRight","Incongruent",1
"492",3,5,1,413.69,"flankers","CongruentRight","Congruent",0
"494",3,5,1,333.04,"flankers","CongruentRight","Congruent",0
"495",3,5,1,392.47,"flankers","CongruentRight","Congruent",0
"496",3,5,2,395.92,"flankers","CongruentLeft","Congruent",0
"497",3,5,2,351.3,"flankers","CongruentLeft","Congruent",0
"498",3,5,3,-354.7,"flankers","IncongruentLeft","Incongruent",1
"499",3,5,2,371.89,"flankers","CongruentLeft","Congruent",0
"500",3,5,1,337.92,"flankers","CongruentRight","Congruent",0
"501",3,5,1,362.66,"flankers","CongruentRight","Congruent",0
"502",3,5,1,392.7,"flankers","CongruentRight","Congruent",0
"503",3,5,2,348.12,"flankers","CongruentLeft","Congruent",0
"504",3,5,4,484.82,"flankers","IncongruentRight","Incongruent",0
"505",3,5,1,378.96,"flankers","CongruentRight","Congruent",0
"507",3,5,1,362.03,"flankers","CongruentRight","Congruent",0
"508",3,5,2,509.49,"flankers","CongruentLeft","Congruent",0
"513",3,5,1,399.89,"flankers","CongruentRight","Congruent",0
"515",3,5,1,366.93,"flankers","CongruentRight","Congruent",0
"516",3,5,1,365.03,"flankers","CongruentRight","Congruent",0
"517",3,5,2,328.48,"flankers","CongruentLeft","Congruent",0
"518",3,5,2,398.58,"flankers","CongruentLeft","Congruent",0
"519",3,5,1,393.98,"flankers","CongruentRight","Congruent",0
"520",3,5,3,525.35,"flankers","IncongruentLeft","Incongruent",0
"521",3,5,1,305.11,"flankers","CongruentRight","Congruent",0
"522",3,5,3,-393.84,"flankers","IncongruentLeft","Incongruent",1
"523",3,5,4,531.02,"flankers","IncongruentRight","Incongruent",0
"524",3,5,2,398.8,"flankers","CongruentLeft","Congruent",0
"525",3,5,1,335.64,"flankers","CongruentRight","Congruent",0
"526",3,5,3,488.28,"flankers","IncongruentLeft","Incongruent",0
"527",3,5,2,379.78,"flankers","CongruentLeft","Congruent",0
"528",3,5,1,324.49,"flankers","CongruentRight","Congruent",0
"530",3,5,4,414.34,"flankers","IncongruentRight","Incongruent",0
"532",3,5,2,393.6,"flankers","CongruentLeft","Congruent",0
"533",3,5,2,333,"flankers","CongruentLeft","Congruent",0
"535",3,5,1,321.5,"flankers","CongruentRight","Congruent",0
"536",3,5,3,452.91,"flankers","IncongruentLeft","Incongruent",0
"537",3,5,1,387.02,"flankers","CongruentRight","Congruent",0
"538",3,5,2,395.77,"flankers","CongruentLeft","Congruent",0
"539",3,5,1,327.14,"flankers","CongruentRight","Congruent",0
"541",3,5,2,419.54,"flankers","CongruentLeft","Congruent",0
"542",3,5,1,313.68,"flankers","CongruentRight","Congruent",0
"543",3,5,1,354.46,"flankers","CongruentRight","Congruent",0
"544",3,5,2,331.28,"flankers","CongruentLeft","Congruent",0
"545",3,5,2,385.25,"flankers","CongruentLeft","Congruent",0
"546",3,5,1,322.03,"flankers","CongruentRight","Congruent",0
"547",3,5,4,-277.42,"flankers","IncongruentRight","Incongruent",1
"548",3,5,2,369.13,"flankers","CongruentLeft","Congruent",0
"549",3,5,2,367.2,"flankers","CongruentLeft","Congruent",0
"550",3,5,2,333.27,"flankers","CongruentLeft","Congruent",0
"551",3,5,1,336.72,"flankers","CongruentRight","Congruent",0
"552",3,5,4,-281.42,"flankers","IncongruentRight","Incongruent",1
"553",3,5,2,343.84,"flankers","CongruentLeft","Congruent",0
"554",3,5,2,296.6,"flankers","CongruentLeft","Congruent",0
"555",3,5,1,345.28,"flankers","CongruentRight","Congruent",0
"558",3,5,2,374.54,"flankers","CongruentLeft","Congruent",0
"559",3,5,2,348.67,"flankers","CongruentLeft","Congruent",0
"561",3,5,3,-347.65,"flankers","IncongruentLeft","Incongruent",1
"562",3,5,4,479.46,"flankers","IncongruentRight","Incongruent",0
"563",3,5,3,496.3,"flankers","IncongruentLeft","Incongruent",0
"565",3,5,1,375.4,"flankers","CongruentRight","Congruent",0
"566",3,5,1,424.18,"flankers","CongruentRight","Congruent",0
"567",3,5,4,-328.92,"flankers","IncongruentRight","Incongruent",1
"568",3,5,1,364.7,"flankers","CongruentRight","Congruent",0
"569",3,5,2,336.17,"flankers","CongruentLeft","Congruent",0
"570",3,5,2,352.89,"flankers","CongruentLeft","Congruent",0
"571",3,5,1,332.27,"flankers","CongruentRight","Congruent",0
"572",3,5,1,346.33,"flankers","CongruentRight","Congruent",0
"573",3,5,1,355.01,"flankers","CongruentRight","Congruent",0
"575",3,5,1,367.4,"flankers","CongruentRight","Congruent",0
"576",3,5,1,325.43,"flankers","CongruentRight","Congruent",0
"577",3,5,1,331.55,"flankers","CongruentRight","Congruent",0
"578",3,5,1,334.95,"flankers","CongruentRight","Congruent",0
"580",3,5,1,344.66,"flankers","CongruentRight","Congruent",0
"581",3,5,4,-353.41,"flankers","IncongruentRight","Incongruent",1
"584",3,5,2,415.19,"flankers","CongruentLeft","Congruent",0
"585",3,5,2,357.4,"flankers","CongruentLeft","Congruent",0
"586",3,5,1,334.15,"flankers","CongruentRight","Congruent",0
"587",3,5,2,326.82,"flankers","CongruentLeft","Congruent",0
"588",3,5,2,370.28,"flankers","CongruentLeft","Congruent",0
"589",3,5,2,344.4,"flankers","CongruentLeft","Congruent",0
"590",3,5,3,-345.08,"flankers","IncongruentLeft","Incongruent",1
"591",3,5,1,354.23,"flankers","CongruentRight","Congruent",0
"592",3,5,1,373.65,"flankers","CongruentRight","Congruent",0
"593",3,5,2,337.14,"flankers","CongruentLeft","Congruent",0
"594",3,5,2,321.84,"flankers","CongruentLeft","Congruent",0
"595",3,5,1,354.66,"flankers","CongruentRight","Congruent",0
"596",3,5,1,358.02,"flankers","CongruentRight","Congruent",0
"597",3,5,1,321.39,"flankers","CongruentRight","Congruent",0
"598",3,5,1,356.83,"flankers","CongruentRight","Congruent",0
"599",3,5,3,-392.14,"flankers","IncongruentLeft","Incongruent",1
"600",3,5,1,355.98,"flankers","CongruentRight","Congruent",0
"601",3,5,1,383.35,"flankers","CongruentRight","Congruent",0
"602",3,5,2,376.04,"flankers","CongruentLeft","Congruent",0
"603",3,5,2,360.79,"flankers","CongruentLeft","Congruent",0
"605",3,5,2,397.26,"flankers","CongruentLeft","Congruent",0
