"X","ID","RT_Seconds","CI","Accuracy","R","S","Stimulus_type","Age","Race_partic","Handedness","condition","S_numeric","R_numeric","CI_numeric"
78,783,0.793,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
79,783,0.524,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
80,783,0.475,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
81,783,0.333,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
82,783,0.631,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
83,783,0.534,"congruent",1,"left","left","white_face",21,"white","right","face",1,1,0
84,783,0.752,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
85,783,0.435,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
86,783,0.543,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
87,783,0.569,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
88,783,0.384,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
89,783,0.538,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
90,783,0.506,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
91,783,0.796,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
92,783,0.812,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
93,783,0.487,"congruent",1,"right","right","black_face",21,"white","right","face",0,0,0
94,783,0.613,"congruent",1,"left","left","good_word",21,"white","right","word",1,1,0
95,783,0.671,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
96,783,0.608,"congruent",1,"right","right","bad_word",21,"white","right","word",0,0,0
97,788,1.65,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
98,788,2.325,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
99,788,0.857,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
100,788,0.87,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
101,788,0.948,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
102,788,0.957,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
103,788,0.796,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
104,788,0.691,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
105,788,0.739,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
106,788,0.999,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
107,788,0.994,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
108,788,0.991,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
109,788,0.772,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
110,788,0.787,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
111,788,0.857,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
112,788,0.749,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
113,788,0.785,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
114,788,0.61,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
115,788,0.672,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
116,788,0.876,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
117,788,0.729,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
118,788,0.886,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
119,788,0.712,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
120,788,2.263,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
121,788,0.849,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
122,788,0.878,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
123,788,0.69,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
124,788,0.573,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
125,788,1.058,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
126,788,0.75,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
127,788,0.833,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
128,788,0.699,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
129,788,0.6,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
130,788,0.683,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
